id,koder,avis,medieaktoer,valg,laengde,aktoer,institut,medie,stikproeve,ordlyd,usikkerhed,indsamling,metode
1,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",509,3,1,1,1,1,0,1,0
1,"Erik Gahner Larsen",0,"Politiken","2011",481,4,1,1,0,0,0,0,0
1,"Simon Grundt Straubinger",0,"Politiken","2005",167,1,1,1,0,0,0,0,0
2,"Erik Gahner Larsen",1,"Politiken","2005",70,1,1,1,1,1,0,1,1
2,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",157,1,1,1,0,0,0,0,0
2,"Erik Gahner Larsen",0,"Politiken","2007",354,2,1,1,0,0,0,0,0
2,"Simon Grundt Straubinger",0,"Berlingske","2005",126,1,1,1,0,0,0,0,1
3,"Erik Gahner Larsen",0,"Politiken","2011",255,1,1,1,0,0,0,0,0
3,"Simon Grundt Straubinger",0,"Berlingske","2011",331,1,1,1,0,0,0,0,0
3,"Erik Gahner Larsen",1,"Berlingske","2005",307,1,1,1,0,1,0,0,0
4,"Erik Gahner Larsen",1,"Ekstra-Bladet","2007",267,2,1,1,0,0,0,0,0
4,"Simon Grundt Straubinger",1,"Berlingske","2011",805,4,1,1,1,1,0,1,0
4,"Erik Gahner Larsen",0,"Berlingske","2007",137,1,1,1,0,0,0,1,0
4,"Simon Grundt Straubinger",0,"Berlingske","2005",322,1,1,1,0,0,0,0,0
5,"Simon Grundt Straubinger",0,"Politiken","2005",503,3,1,1,0,0,0,0,0
5,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
5,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",274,1,1,1,1,0,0,0,0
6,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",68,1,1,1,0,0,0,0,0
6,"Simon Grundt Straubinger",0,"Ekstra-Bladet","2007",167,1,1,1,1,0,0,1,0
6,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",282,1,1,1,1,0,0,0,0
6,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",249,1,1,1,1,0,0,0,0
7,"Simon Grundt Straubinger",0,"Berlingske","2011",254,1,1,1,0,0,1,0,0
7,"Erik Gahner Larsen",0,"Politiken","2011",180,1,1,1,1,0,0,1,0
7,"Simon Grundt Straubinger",0,"Ekstra-Bladet","2007",140,1,1,1,0,0,0,1,0
7,"Simon Grundt Straubinger",0,"Politiken","2005",155,1,1,1,0,0,0,0,0
7,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",113,1,1,1,1,0,0,1,0
8,"Simon Grundt Straubinger",0,"Berlingske","2005",410,3,1,1,0,0,0,0,0
9,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",106,2,0,0,0,0,0,0,0
9,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",153,1,1,1,1,0,0,0,0
10,"Erik Gahner Larsen",1,"Politiken","2011",468,4,1,1,0,0,0,0,0
10,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",257,1,1,0,0,0,0,0,0
10,"Erik Gahner Larsen",0,"Politiken","2007",411,1,1,1,0,0,0,0,0
10,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",596,4,1,1,1,1,0,1,1
10,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",141,1,1,1,1,0,0,1,0
11,"Simon Grundt Straubinger",0,"Politiken","2005",223,2,1,1,0,0,0,0,0
11,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",244,1,1,1,1,1,1,1,1
11,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",207,1,1,1,0,0,0,1,0
11,"Simon Grundt Straubinger",0,"Ekstra-Bladet","2007",172,1,1,1,0,0,0,0,0
11,"Simon Grundt Straubinger",0,"Berlingske","2005",168,1,1,1,0,0,0,0,0
12,"Simon Grundt Straubinger",0,"Berlingske","2011",210,2,1,1,0,0,0,0,0
12,"Simon Grundt Straubinger",0,"Politiken","2005",378,2,1,1,0,0,0,0,0
12,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",359,2,1,1,1,0,0,1,0
12,"Simon Grundt Straubinger",0,"Berlingske","2005",186,1,1,1,1,0,0,1,1
12,"Erik Gahner Larsen",1,"Politiken","2005",70,1,1,1,1,1,0,1,1
13,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",155,1,1,1,1,0,0,0,0
13,"Simon Grundt Straubinger",0,"Politiken","2005",189,2,1,1,0,0,0,0,0
13,"Erik Gahner Larsen",0,"Politiken","2007",245,1,1,1,0,0,0,0,0
13,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",83,1,1,1,0,0,0,0,0
14,"Simon Grundt Straubinger",0,"Politiken","2005",187,1,1,1,0,0,0,0,0
14,"Simon Grundt Straubinger",0,"Berlingske","2005",530,4,1,1,0,0,0,0,0
15,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",543,3,1,1,0,0,0,0,0
15,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",131,1,1,1,1,0,0,0,0
15,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
16,"Simon Grundt Straubinger",0,"Berlingske","2005",474,2,1,1,0,0,0,0,0
16,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",120,1,1,1,1,0,0,0,0
17,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",467,2,1,1,1,1,0,1,1
17,"Simon Grundt Straubinger",0,"Politiken","2005",172,1,1,1,1,1,0,1,1
17,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",663,4,1,1,1,0,0,1,0
17,"Erik Gahner Larsen",1,"Politiken","2005",70,1,1,1,1,1,0,1,1
17,"Erik Gahner Larsen",0,"Politiken","2007",234,1,1,1,0,0,0,0,0
17,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",198,1,1,1,1,0,0,1,0
18,"Erik Gahner Larsen",1,"Politiken","2005",144,3,1,1,0,0,0,0,0
18,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",181,1,1,1,0,0,1,0,0
19,"Simon Grundt Straubinger",0,"Berlingske","2005",126,1,1,1,1,0,1,1,0
19,"Simon Grundt Straubinger",1,"Berlingske","2011",210,1,1,1,0,0,0,0,0
19,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",195,1,1,1,0,0,0,0,0
19,"Simon Grundt Straubinger",0,"Ekstra-Bladet","2007",148,1,1,1,0,0,0,0,0
20,"Simon Grundt Straubinger",1,"Berlingske","2007",1768,3,1,1,0,0,0,0,0
20,"Erik Gahner Larsen",1,"Berlingske","2005",495,4,1,1,1,1,0,1,1
20,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",159,1,1,1,0,0,0,0,0
20,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",127,1,1,1,1,0,0,0,0
21,"Simon Grundt Straubinger",0,"Berlingske","2005",250,1,1,1,1,1,1,1,1
21,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",99,1,1,0,0,0,0,0,0
21,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",356,1,1,1,1,0,1,1,0
21,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",175,1,1,1,0,0,0,1,0
22,"Simon Grundt Straubinger",0,"Berlingske","2005",215,2,1,1,1,0,0,0,1
22,"Simon Grundt Straubinger",0,"Berlingske","2011",252,2,1,1,1,1,1,1,1
22,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",292,3,1,1,1,0,0,0,0
22,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
22,"Erik Gahner Larsen",1,"Politiken","2005",70,1,1,1,1,1,0,1,1
22,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",240,1,1,1,1,0,1,1,1
22,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",663,2,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Berlingske","2011",864,4,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Ekstra-Bladet","2007",140,1,1,0,0,0,0,0,0
23,"Erik Gahner Larsen",0,"Politiken","2007",339,1,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Politiken","2005",158,1,1,1,0,0,0,0,0
23,"Simon Grundt Straubinger",0,"Berlingske","2005",267,1,1,1,0,0,0,0,0
24,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",156,1,1,1,1,0,0,0,0
24,"Erik Gahner Larsen",0,"Politiken","2011",545,3,1,1,1,1,0,0,0
24,"Simon Grundt Straubinger",0,"Berlingske","2005",105,1,1,1,0,0,0,0,0
25,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",480,4,1,1,0,0,0,0,0
25,"Simon Grundt Straubinger",1,"Berlingske","2007",396,2,1,1,1,1,0,1,1
25,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
25,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",302,3,1,1,0,0,0,0,0
26,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",731,4,1,1,1,1,0,1,1
26,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",185,1,1,1,0,0,0,0,0
26,"Simon Grundt Straubinger",0,"Berlingske","2005",229,1,1,1,0,0,0,0,0
27,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",171,1,1,1,0,0,0,0,0
27,"Simon Grundt Straubinger",0,"Berlingske","2005",203,1,1,1,1,0,0,1,0
27,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",190,2,1,1,0,0,0,0,0
28,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
28,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",175,3,1,1,0,0,0,0,0
28,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
28,"Simon Grundt Straubinger",1,"Berlingske","2011",83,1,1,1,0,0,0,0,0
29,"Simon Grundt Straubinger",0,"Berlingske","2005",159,1,1,1,0,0,0,0,0
29,"Simon Grundt Straubinger",1,"Berlingske","2011",351,4,1,1,1,0,0,0,1
29,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",203,1,1,1,1,0,0,1,0
29,"Erik Gahner Larsen",0,"Berlingske","2007",141,1,1,0,0,0,0,0,0
29,"Simon Grundt Straubinger",0,"Politiken","2005",184,1,1,1,0,0,0,0,0
29,"Erik Gahner Larsen",1,"Berlingske","2005",939,4,1,1,1,1,0,1,1
29,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",560,2,1,1,0,0,0,0,0
30,"Simon Grundt Straubinger",0,"Berlingske","2005",158,2,1,1,0,0,0,0,0
30,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",369,3,1,1,1,0,0,0,0
30,"Simon Grundt Straubinger",0,"Berlingske","2011",253,1,1,1,1,0,0,0,0
30,"Simon Grundt Straubinger",1,"Berlingske","2007",333,2,1,1,1,1,0,1,1
31,"Simon Grundt Straubinger",0,"Berlingske","2011",187,1,1,1,1,1,1,1,0
31,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",216,1,1,1,1,0,1,1,0
32,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
32,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",82,1,1,1,1,0,0,0,0
32,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",117,1,1,1,0,0,0,0,0
34,"Simon Grundt Straubinger",0,"Berlingske","2005",392,2,1,1,0,0,0,0,0
34,"Erik Gahner Larsen",1,"Berlingske","2005",205,1,1,1,1,1,0,1,1
34,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",155,1,1,1,1,0,0,0,0
34,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",186,1,1,0,1,0,0,0,0
35,"Erik Gahner Larsen",0,"Politiken","2007",320,1,1,1,0,0,0,0,0
35,"Simon Grundt Straubinger",0,"Politiken","2005",347,2,1,1,1,0,0,0,0
35,"Simon Grundt Straubinger",0,"Berlingske","2005",424,2,1,1,0,0,0,0,0
35,"Simon Grundt Straubinger",0,"Berlingske","2011",271,2,1,1,0,0,0,0,0
35,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",94,1,1,1,1,0,0,0,0
36,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
36,"Simon Grundt Straubinger",0,"Berlingske","2011",295,1,1,1,0,0,0,0,0
37,"Erik Gahner Larsen",0,"Politiken","2011",254,1,1,1,1,0,0,1,0
37,"Erik Gahner Larsen",1,"Berlingske","2005",144,1,1,1,0,0,0,0,0
38,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,1,0
38,"Erik Gahner Larsen",0,"Politiken","2007",350,1,1,1,0,0,0,0,0
38,"Simon Grundt Straubinger",1,"Berlingske","2007",339,2,1,1,1,1,0,1,1
38,"Erik Gahner Larsen",0,"Ekstra-Bladet","2005",290,2,1,1,0,0,0,0,0
38,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",318,1,1,1,1,0,0,1,0
38,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",532,2,1,1,1,1,0,1,0
39,"Simon Grundt Straubinger",0,"Politiken","2005",412,4,0,0,0,0,0,0,0
39,"Simon Grundt Straubinger",0,"Berlingske","2005",302,1,1,1,1,1,1,1,1
39,"Erik Gahner Larsen",1,"Berlingske","2005",81,1,1,1,0,0,0,0,0
39,"Simon Grundt Straubinger",1,"Berlingske","2007",377,3,1,1,1,1,0,1,1
40,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
40,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",148,1,1,1,0,0,0,0,0
40,"Erik Gahner Larsen",0,"Politiken","2007",271,1,1,1,0,0,0,0,0
40,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",158,1,1,1,1,0,0,1,0
40,"Simon Grundt Straubinger",0,"Politiken","2005",212,3,1,1,0,0,0,0,1
41,"Erik Gahner Larsen",0,"Politiken","2007",696,3,1,1,1,1,0,0,0
41,"Erik Gahner Larsen",0,"Berlingske","2007",149,1,1,1,0,0,0,0,0
42,"Erik Gahner Larsen",1,"Politiken","2011",64,1,1,1,0,0,0,0,0
42,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",160,1,1,1,0,0,1,1,0
43,"Simon Grundt Straubinger",0,"Berlingske","2005",156,1,1,1,1,0,0,0,0
43,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",312,1,1,1,0,0,0,0,0
43,"Erik Gahner Larsen",1,"Politiken","2011",780,1,1,1,1,0,0,0,0
44,"Simon Grundt Straubinger",1,"Politiken","2007",784,1,1,1,1,1,0,1,1
45,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",189,1,1,1,0,0,1,0,0
45,"Erik Gahner Larsen",0,"Berlingske","2007",362,2,1,1,0,0,0,0,0
45,"Erik Gahner Larsen",1,"Berlingske","2005",68,1,1,1,0,0,0,0,0
46,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",179,1,1,1,0,0,0,0,0
47,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
48,"Simon Grundt Straubinger",0,"Berlingske","2005",294,1,1,1,1,1,1,1,1
48,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",237,3,1,1,0,0,0,0,0
48,"Simon Grundt Straubinger",1,"Berlingske","2007",467,2,1,1,1,1,0,1,1
49,"Simon Grundt Straubinger",0,"Politiken","2005",369,4,1,1,0,0,0,0,1
49,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",367,1,1,1,1,1,1,1,1
49,"Erik Gahner Larsen",0,"Politiken","2011",361,3,1,1,1,1,0,1,0
49,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",131,1,1,1,0,0,0,0,0
50,"Erik Gahner Larsen",1,"Berlingske","2005",395,2,1,1,0,0,0,0,0
50,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",306,1,1,1,1,0,1,1,1
50,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",435,2,1,0,0,0,0,0,0
50,"Simon Grundt Straubinger",0,"Berlingske","2005",159,1,1,1,0,0,0,0,0
51,"Simon Grundt Straubinger",0,"Berlingske","2005",99,1,1,1,0,0,0,0,0
51,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",193,1,1,1,0,0,0,0,0
51,"Simon Grundt Straubinger",1,"Berlingske","2007",473,4,1,1,1,1,0,1,1
51,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",316,1,1,1,0,1,0,0,0
52,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",124,3,1,0,0,0,0,0,0
52,"Simon Grundt Straubinger",0,"Berlingske","2005",181,1,1,1,0,0,1,0,0
52,"Erik Gahner Larsen",0,"Berlingske","2007",496,2,1,1,1,0,0,0,0
52,"Erik Gahner Larsen",1,"Berlingske","2005",363,2,1,1,1,1,0,1,1
54,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",405,1,1,1,1,1,1,1,1
54,"Erik Gahner Larsen",1,"Berlingske","2005",67,1,1,1,0,0,0,1,0
55,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
55,"Erik Gahner Larsen",0,"Jyllands-Posten","2005",115,1,1,1,0,0,0,0,0
55,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",338,3,1,1,1,0,0,1,0
55,"Simon Grundt Straubinger",1,"Berlingske","2007",336,4,1,1,1,1,0,1,1
56,"Simon Grundt Straubinger",0,"Berlingske","2005",194,1,1,1,0,0,0,0,0
56,"Simon Grundt Straubinger",0,"Berlingske","2011",322,2,1,1,1,0,1,1,1
57,"Simon Grundt Straubinger",1,"Berlingske","2007",453,2,1,1,1,1,0,1,1
57,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",576,2,1,1,0,0,0,0,0
58,"Erik Gahner Larsen",0,"Politiken","2007",390,1,1,1,0,0,0,0,0
58,"Simon Grundt Straubinger",0,"Berlingske","2005",513,2,1,1,0,0,0,0,0
60,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",273,4,1,1,0,0,0,0,0
60,"Erik Gahner Larsen",1,"Berlingske","2005",66,1,1,1,0,0,0,1,0
60,"Erik Gahner Larsen",0,"Politiken","2011",234,1,1,1,0,0,0,0,0
61,"Simon Grundt Straubinger",0,"Berlingske","2005",155,1,1,1,1,0,0,0,1
61,"Simon Grundt Straubinger",0,"Jyllands-Posten","2007",163,1,0,0,0,0,0,0,0
62,"Simon Grundt Straubinger",0,"Berlingske","2005",222,1,1,1,1,1,1,1,1
63,"Erik Gahner Larsen",1,"Politiken","2005",69,1,1,1,1,1,0,1,1
64,"Erik Gahner Larsen",0,"Berlingske","2007",149,1,1,1,0,0,0,0,0
64,"Simon Grundt Straubinger",1,"Jyllands-Posten","2011",44,1,1,1,0,0,0,0,0
64,"Simon Grundt Straubinger",1,"Jyllands-Posten","2005",312,4,1,1,0,0,0,0,0
65,"Simon Grundt Straubinger",1,"Berlingske","2007",292,4,1,1,1,1,0,1,1
66,"Erik Gahner Larsen",1,"Politiken","2005",648,3,1,1,1,1,0,1,1
66,"Erik Gahner Larsen",1,"Jyllands-Posten","2007",320,2,1,1,1,0,0,1,0
66,"Erik Gahner Larsen",0,"Politiken","2011",199,2,0,1,0,0,0,0,0
66,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",216,2,1,1,0,0,0,0,0
67,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",280,3,1,1,0,1,0,0,0
67,"Simon Grundt Straubinger",0,"Jyllands-Posten","2011",277,1,1,1,1,0,0,0,1
67,"Simon Grundt Straubinger",1,"Berlingske","2011",447,2,1,1,1,1,0,1,1
67,"Erik Gahner Larsen",0,"Berlingske","2007",354,3,1,0,0,0,0,0,0
68,"Erik Gahner Larsen",1,"Berlingske","2005",111,1,1,1,0,0,0,0,0
68,"Erik Gahner Larsen",0,"Ekstra-Bladet","2011",294,1,1,1,0,0,0,0,0
